; File: spkrinfo.txt - updated 01/24/90
;
; TI Connected Digits speaker information
;
; ID - Unique 2-character speaker identifier
; Gender - (M-man, W-woman, B-boy, G-girl)
; Age - Speaker age at time of recording
; Dialect - Dialect region identifier (see file "dialects.txt" for decode)
; Usage - (TST-test material, TRN-training material)
;
;ID     Gender	   Age	   Dialect    Usage
;--     ------     ---     -------    -----
AA        G        13        11        TRN
AB        G        08        01        TRN
AC        W        36        18        TRN
AD        G        08        02        TST
AE        M        35        11        TRN
AF        G        11        17        TST
AG        W        24        13        TRN
AH        M        31        14        TST
AI        W        24        21        TRN
AJ        M        38        02        TRN
AK        W        21        13        TST
AL        M        24        01        TRN
AM        B        08        17        TRN
AN        W        30        08        TRN
AP        W        24        21        TST
AR        M        24        10        TST
AS        G        08        17        TRN
AT        M        22        18        TST
AW        M        36        13        TRN
BA        W        59        18        TST
BB        B        11        16        TRN
BC        M        23        03        TST
BD        M        29        14        TRN
BE        M        26        10        TST
BF        W        37        15        TST
BG        B        10        17        TST
BH        W        25        03        TRN
BI        W        22        01        TRN
BJ        W        34        13        TST
BK        B        08        17        TST
BL        W        26        12        TST
BM        M        46        10        TST
BN        M        21        06        TST
BP        G        08        17        TRN
BR        W        35        17        TRN
BS        W        47        07        TST
BT        B        11        17        TST
BW        W        31        06        TST
CA        W        45        13        TRN
CB        M        31        09        TRN
CC        M        25        20        TST
CD        W        23        01        TST
CE        M        25        16        TST
CF        M        43        22        TRN
CG        W        17        17        TRN
CH        G        13        17        TRN
CI        B        08        08        TRN
CJ        W        38        03        TST
CK        G        07        17        TRN
CL        W        24        09        TRN
CM        W        27        12        TRN
CN        G        15        04        TRN
CP        M        36        12        TST
CR        M        22        09        TRN
CS        W        19        04        TST
CT        W        26        16        TST
CW        B        10        17        TRN
DA        B        11        17        TRN
DB        G        08        17        TST
DC        W        26        01        TRN
DD        B        11        17        TST
DE        G        11        02        TRN
DF        M        31        11        TST
DG        W        34        22        TRN
DH        B        09        17        TST
DI        G        11        03        TST
DJ        M        38        04        TST
DK        B        10        17        TRN
DL        M        27        20        TRN
DM        B        07        10        TRN
DN        M        25        16        TRN
DP        W        23        22        TST
DR        W        25        09        TST
DS        B        07        17        TRN
DT        B        09        17        TST
DW        W        40        01        TST
EA        W        27        09        TRN
EB        B        11        18        TRN
EC        W        28        05        TRN
ED        M        38        05        TST
EE        W        35        14        TRN
EF        M        36        02        TST
EG        W        24        11        TRN
EH        M        34        05        TRN
EI        W        27        22        TRN
EJ        W        23        02        TST
EK        W        28        19        TRN
EL        M        26        16        TRN
EM        W        48        22        TST
EN        B        09        17        TRN
EP        W        35        06        TST
ER        W        28        12        TST
ES        W        22        19        TRN
ET        M        24        21        TST
EW        W        21        06        TST
FA        M        25        18        TST
FB        B        11        13        TST
FC        M        37        15        TRN
FD        M        24        22        TRN
FE        G        09        17        TST
FF        M        38        04        TRN
FG        M        26        21        TST
FH        M        26        06        TST
FI        M        23        07        TRN
FJ        M        25        10        TRN
FK        M        31        21        TRN
FL        M        27        15        TRN
FM        M        41        16        TST
FN        W        52        19        TST
FP        M        24        01        TST
FR        M        27        07        TST
FS        M        26        12        TST
FT        M        25        22        TST
FW        B        10        17        TST
GA        M        70        18        TST
GB        W        35        14        TST
GC        W        33        22        TST
