########################################################
# Region definition file for TIDIGITS corpus
# Column 1: Filename 
# Column 2: Speaker's id  
# Column 3: Speaker's Sex
# Column 4: Speaker's Age
# column 5: Region 
# column 6: Usage
#########################################################
Filename Speaker_id Sex Age Region Usage
/test/boy/bg/119oo39a.wav bg B 0-10 Southwest test
/test/boy/bg/1647a.wav bg B 0-10 Southwest test
/test/boy/bg/17z68a.wav bg B 0-10 Southwest test
/test/boy/bg/18o97a.wav bg B 0-10 Southwest test
/test/boy/bg/1962o41a.wav bg B 0-10 Southwest test
/test/boy/bg/1a.wav bg B 0-10 Southwest test
/test/boy/bg/1b.wav bg B 0-10 Southwest test
/test/boy/bg/22377a.wav bg B 0-10 Southwest test
/test/boy/bg/2369526a.wav bg B 0-10 Southwest test
/test/boy/bg/25o8a.wav bg B 0-10 Southwest test
/test/boy/bg/28o14a.wav bg B 0-10 Southwest test
/test/boy/bg/2a.wav bg B 0-10 Southwest test
/test/boy/bg/2b.wav bg B 0-10 Southwest test
/test/boy/bg/2z1z767a.wav bg B 0-10 Southwest test
/test/boy/bg/3131a.wav bg B 0-10 Southwest test
/test/boy/bg/3448a.wav bg B 0-10 Southwest test
/test/boy/bg/385359oa.wav bg B 0-10 Southwest test
/test/boy/bg/39425a.wav bg B 0-10 Southwest test
/test/boy/bg/3a.wav bg B 0-10 Southwest test
/test/boy/bg/3b.wav bg B 0-10 Southwest test
/test/boy/bg/3za.wav bg B 0-10 Southwest test
/test/boy/bg/43a.wav bg B 0-10 Southwest test
/test/boy/bg/44a.wav bg B 0-10 Southwest test
/test/boy/bg/49a.wav bg B 0-10 Southwest test
/test/boy/bg/4a.wav bg B 0-10 Southwest test
/test/boy/bg/4b.wav bg B 0-10 Southwest test
/test/boy/bg/4za.wav bg B 0-10 Southwest test
/test/boy/bg/4zzzza.wav bg B 0-10 Southwest test
/test/boy/bg/51a.wav bg B 0-10 Southwest test
/test/boy/bg/54598a.wav bg B 0-10 Southwest test
/test/boy/bg/552a.wav bg B 0-10 Southwest test
/test/boy/bg/557z9a.wav bg B 0-10 Southwest test
/test/boy/bg/56a.wav bg B 0-10 Southwest test
/test/boy/bg/5a.wav bg B 0-10 Southwest test
/test/boy/bg/5b.wav bg B 0-10 Southwest test
/test/boy/bg/6374a.wav bg B 0-10 Southwest test
/test/boy/bg/6682a.wav bg B 0-10 Southwest test
/test/boy/bg/66o583oa.wav bg B 0-10 Southwest test
/test/boy/bg/6a.wav bg B 0-10 Southwest test
/test/boy/bg/6b.wav bg B 0-10 Southwest test
/test/boy/bg/6z8a.wav bg B 0-10 Southwest test
/test/boy/bg/6z921a.wav bg B 0-10 Southwest test
/test/boy/bg/7264932a.wav bg B 0-10 Southwest test
/test/boy/bg/7332a.wav bg B 0-10 Southwest test
/test/boy/bg/76a.wav bg B 0-10 Southwest test
/test/boy/bg/791a.wav bg B 0-10 Southwest test
/test/boy/bg/7a.wav bg B 0-10 Southwest test
/test/boy/bg/7b.wav bg B 0-10 Southwest test
/test/boy/bg/7o51a.wav bg B 0-10 Southwest test
/test/boy/bg/813a.wav bg B 0-10 Southwest test
/test/boy/bg/824o2o9a.wav bg B 0-10 Southwest test
/test/boy/bg/854a.wav bg B 0-10 Southwest test
/test/boy/bg/869a.wav bg B 0-10 Southwest test
/test/boy/bg/87a.wav bg B 0-10 Southwest test
/test/boy/bg/8a.wav bg B 0-10 Southwest test
/test/boy/bg/8b.wav bg B 0-10 Southwest test
/test/boy/bg/928a.wav bg B 0-10 Southwest test
/test/boy/bg/93a.wav bg B 0-10 Southwest test
/test/boy/bg/95615a.wav bg B 0-10 Southwest test
/test/boy/bg/984a.wav bg B 0-10 Southwest test
/test/boy/bg/9a.wav bg B 0-10 Southwest test
/test/boy/bg/9b.wav bg B 0-10 Southwest test
/test/boy/bg/9z4a.wav bg B 0-10 Southwest test
/test/boy/bg/o147a.wav bg B 0-10 Southwest test
/test/boy/bg/o346571a.wav bg B 0-10 Southwest test
/test/boy/bg/o68a.wav bg B 0-10 Southwest test
/test/boy/bg/oa.wav bg B 0-10 Southwest test
/test/boy/bg/ob.wav bg B 0-10 Southwest test
/test/boy/bg/oo6735oa.wav bg B 0-10 Southwest test
/test/boy/bg/ooa.wav bg B 0-10 Southwest test
/test/boy/bg/z299z33a.wav bg B 0-10 Southwest test
/test/boy/bg/z5z3a.wav bg B 0-10 Southwest test
/test/boy/bg/z65a.wav bg B 0-10 Southwest test
/test/boy/bg/z8421a.wav bg B 0-10 Southwest test
